,popu,area,year
897,1909,岡 山 県,1984
898,2807,広 島 県,1984
899,1601,山 口 県,1984
900,834,徳 島 県,1984
901,1018,香 川 県,1984
902,1526,愛 媛 県,1984
903,839,高 知 県,1984
904,4697,福 岡 県,1984
905,878,佐 賀 県,1984
906,1595,長 崎 県,1984
907,1830,熊 本 県,1984
908,1248,大 分 県,1984
909,1173,宮 崎 県,1984
910,1814,鹿児島県,1984
911,1161,沖 縄 県,1984
912,121049,全国,1985
913,5679,北 海 道,1985
914,1524,青 森 県,1985
915,1434,岩 手 県,1985
916,2176,宮 城 県,1985
917,1254,秋 田 県,1985
918,1262,山 形 県,1985
919,2080,福 島 県,1985
920,2725,茨 城 県,1985
921,1866,栃 木 県,1985
922,1921,群 馬 県,1985
923,5864,埼 玉 県,1985
924,5148,千 葉 県,1985
925,11829,東 京 都,1985
926,7432,神奈川県,1985
927,2478,新 潟 県,1985
928,1118,富 山 県,1985
929,1152,石 川 県,1985
930,818,福 井 県,1985
931,833,山 梨 県,1985
932,2137,長 野 県,1985
933,2029,岐 阜 県,1985
934,3575,静 岡 県,1985
935,6455,愛 知 県,1985
936,1747,三 重 県,1985
937,1156,滋 賀 県,1985
938,2587,京 都 府,1985
939,8668,大 阪 府,1985
940,5278,兵 庫 県,1985
941,1305,奈 良 県,1985
942,1087,和歌山県,1985
943,616,鳥 取 県,1985
944,795,島 根 県,1985
945,1917,岡 山 県,1985
946,2819,広 島 県,1985
947,1602,山 口 県,1985
948,835,徳 島 県,1985
949,1023,香 川 県,1985
950,1530,愛 媛 県,1985
951,840,高 知 県,1985
952,4719,福 岡 県,1985
953,880,佐 賀 県,1985
954,1594,長 崎 県,1985
955,1838,熊 本 県,1985
956,1250,大 分 県,1985
957,1176,宮 崎 県,1985
958,1819,鹿児島県,1985
959,1179,沖 縄 県,1985
